 station
  1               KEECHELUS RESERVOIR
  2               KACHESS RESERVOIR
  3               YAKIMA RIVER AT EASTON DIVERSION DAM
  4               CLE ELUM RESERVOIR
  5               YAKIMA RIVER AT CLE ELUM
  6               YAKIMA RIVER AT UMTANUM
  7               BUMPING RESERVOIR
  8               NACHES RIVER AT NACHES-SELAH DIVERSION
  9               TIETON RESERVOIR
 10               TIETON RIVER AT TIETON DIVERSION
 11               NACHES R BELOW TIETON R NEAR NACHES
 12               YAKIMA R AT SUNNYSIDE DIV(PARKER)


tot_num_stats  12  
Years 48
Seasonal   12

Station        	1
Station_id	KEECHELUS_RESERVOIR
Duration    1926    1973
    10.2    35.0    14.9    12.4    24.7    30.3    19.1     4.2     3.2     2.9     5.3    20.9
    14.8    19.3     8.9     6.8     7.9    19.1    44.5    57.7    16.1     4.8    11.5    23.0
    48.5    19.0    29.1     6.2    21.5    21.0    55.8    20.4     6.0     4.4     2.0    17.3
     8.5     6.5     4.2     3.2    11.3    15.3    50.1    38.4    11.6     2.0     2.4     2.7
     2.8     7.3     7.1    23.9    18.2    36.9    26.9    17.0     5.8     3.2     2.8     8.5
    10.2     5.9    12.9    14.0    21.9    26.1    43.9    20.2     6.6     2.8     2.6     9.5
    19.6     7.6    18.1    22.2    32.2    32.4    50.8    53.0    18.7     7.9     4.3    11.7
    61.4    27.9    25.8     7.8     8.4    18.1    37.3    65.0    37.0     8.9    11.3    36.8
    31.9    80.0    37.0    17.8    47.7    48.2    22.4     7.1     2.7     1.3     2.8    22.7
    32.4    20.2    39.4    14.5    14.5    15.0    44.0    41.7    13.9     4.3     4.2     4.7
     5.9     8.1    12.6     6.8    15.1    34.9    74.2    44.5     7.5     3.6     3.4     3.1
     2.9    22.3     5.9     7.1    12.0    22.4    45.4    56.4    14.0     3.5     2.9     6.3
    40.8    23.6    14.3     5.4     9.7    34.7    46.6    26.5     5.8     2.7     1.8     4.0
    16.4    26.6    26.7     8.9    14.1    29.2    43.6    25.2     9.6     3.3     3.2     6.8
    14.0    28.6     7.6    15.3    22.8    33.4    35.6    12.5     4.9     3.9     2.0     5.5
    11.6    17.9     6.7     5.9    18.2    23.1    19.8    10.0     4.9     4.0    11.0    18.6
    19.3    20.1     5.8     5.7     9.6    30.9    31.3    28.5     7.9     2.5     3.0     3.6
    23.2    20.5    12.9     7.4    13.8    39.1    46.5    50.6    23.0     4.8     3.6     4.9
     9.3    24.8     6.3     9.3    12.0    21.5    37.1    18.4     3.4     5.1     8.9     6.0
     9.5    15.1    32.1    18.8     9.3    17.0    58.4    27.4     8.3     4.2     9.2    14.5
    20.9    16.2    13.9     6.6    12.1    26.6    67.0    59.6    23.9     6.8     4.7    15.5
    11.8    38.4    23.1    17.9    25.4    42.0    45.3    24.9     7.6     1.3     4.7    29.4
    34.3    16.3     9.9     9.3     9.3    17.5    64.3    72.2    17.0     6.6     6.8    11.8
    16.0    14.6     9.1     9.1    12.4    31.1    71.9    48.1    22.9     6.9     5.1    19.7
    37.6    22.4    13.9    10.8    21.6    19.2    46.1    78.6    38.4     9.0     4.5    22.4
    33.4    34.7    16.9    33.4    10.2    30.3    57.6    37.7     8.8     3.3     2.9    20.1
    16.3    10.9     6.4     9.6     8.8    30.4    51.9    28.0    12.9     3.4     3.6     3.3
     2.1     4.2    49.3    24.9    10.9    24.3    44.1    36.4    20.9     4.6     2.9     7.5
    20.2    38.8    16.6    10.9    10.5    22.0    55.4    58.0    40.1    12.6     7.5    10.6
    23.1    10.3    10.2    15.5     8.4    11.9    37.3    67.9    39.4     9.8     4.8    29.5
    36.9    25.5     9.7     6.6     8.7    31.9    77.7    63.0    33.8     6.4     5.0    20.0
    18.9    56.3     8.5     7.4    10.9    29.5    55.5    21.8     6.2     3.8     2.6     4.5
     9.9    19.6    13.6    19.2    12.3    29.3    55.0    18.2     4.3     4.3     4.3    19.7
    50.0    39.9    30.4    10.9    17.2    39.9    43.5    44.7    17.9     3.4    27.2    34.0
    56.1    32.6     7.4    12.3    15.5    30.0    46.2    36.4     8.4     4.3     4.6    13.3
    27.9    10.2    24.7    32.0    19.8    32.7    56.6    47.1     9.1     2.7     4.4    13.2
    15.2    21.4    28.5    15.5     8.4    39.0    29.3    25.5    11.9     4.2     4.1    13.1
    33.0    24.7    18.2    28.9    14.9    20.3    28.3    14.5     4.9     2.5     2.0     6.5
    21.1     9.8    16.0     7.4    11.0    19.8    46.9    71.6    45.0    12.4     9.0    13.5
    15.8    26.9    28.2    22.4    13.0    38.2    43.1    34.2    10.8     3.7     2.8     7.8
    14.8    11.9    11.1     5.8    11.9    35.2    48.8    29.0    12.3     2.0     2.0     9.6
    15.2    33.9    28.8    20.2    11.4    10.8    44.9    46.2    10.8     1.4     1.4    26.7
    21.2    42.2    32.3    37.0    23.4    17.1    31.9    23.9     6.2     4.5    13.8    17.6
    26.0    17.0    20.3     5.4     9.8    28.1    67.9    40.1     8.2     4.8     7.0    10.7
    10.3     8.1    13.2     9.1    16.4    23.2    48.4    42.7     8.8     3.1     5.2     7.6
    19.3     9.7    28.1    27.8    10.1    15.1    69.0    55.1    39.5     7.2     4.8    12.7
    24.5    16.9    22.0    37.9    47.4    23.8    78.3    64.8    31.4     9.1    12.7     6.7
    13.0    35.0    19.2     6.2    10.8    20.2    31.5    18.3     5.8     3.2     4.4     8.6


Station        	2
